,id,budget,popularity,runtime,has_collection,release_year,director_success,producer_success,actor1_success,actor2_success,log_budget,Drama,Adventure,Fantasy,Western,Thriller,Animation,Action,Mystery,Foreign,Science Fiction,Documentary,Family,adjusted_budget
0,3001,0,3.8515339999999996,90.0,1,2007,57596027.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,0,1,480672.0999999994
1,3002,88000,3.559789,65.0,0,1958,0.0,0.0,0.0,0.0,11.385103457032141,0,0,0,0,0,0,0,0,0,1,0,0,88000.0
2,3003,0,8.085194,100.0,0,1997,0.0,0.0,81209911.6,159894245.7777778,0.0,0,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
3,3004,6800000,8.596012,130.0,0,2010,68928304.0,6581915.0,0.0,0.0,15.732433317205148,1,0,0,0,0,0,0,1,0,0,0,0,6800000.0
4,3005,2000000,3.21768,92.0,0,2005,742898.0,250000.0,3708505.0,0.0,14.508658238524095,0,0,0,0,0,0,0,0,0,0,1,0,2000000.0
5,3006,0,8.67935,121.0,0,1996,4509481.333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
6,3007,0,4.898882,119.0,0,2010,22476325.333333332,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
7,3008,30000000,7.023414,77.0,0,2000,0.0,0.0,0.0,0.0,17.216707972959764,0,0,0,0,0,1,0,0,0,0,0,1,30000000.0
8,3009,16500000,7.829737,120.0,0,2007,0.0,68418078.0,63029556.0,153551815.7142857,16.61887099947687,1,0,0,0,0,0,0,0,0,0,0,0,16500000.0
9,3010,90000000,17.547693,92.0,1,1999,186777016.5,0.0,210181823.64285713,100582084.16666667,18.31532023940565,0,0,0,0,0,1,0,0,0,0,0,1,90000000.0
10,3011,2000000,0.262437,88.0,0,2005,0.0,0.0,11755739.0,0.0,14.508658238524095,0,0,0,0,1,0,0,0,0,0,0,0,2000000.0
11,3012,0,4.220318,112.0,0,2014,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
12,3013,5000000,10.973482,109.0,1,1980,0.0,0.0,0.0,0.0,15.424948670398354,0,0,0,0,0,0,1,0,0,0,0,0,5000000.0
13,3014,800000,1.178723,88.0,0,2002,0.0,0.0,0.0,0.0,13.592368256649284,1,0,0,0,0,0,0,0,0,0,0,0,800000.0
14,3015,20000000,7.973126,114.0,0,2008,3919254.0,0.0,95405189.0,31615048.8,16.811242881518265,1,1,0,0,0,0,0,0,0,0,0,0,20000000.0
15,3016,0,2.114833,100.0,0,2010,0.0,3387000.0,123384128.0,54573446.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
16,3017,36000000,11.967652000000001,101.0,1,2010,38505009.0,0.0,50982527.166666664,0.0,17.399029524198163,0,1,0,0,0,0,0,0,0,1,0,0,36000000.0
17,3018,100000000,9.730176,119.0,0,2014,0.0,0.0,237677722.3125,69875824.33333333,18.420680753952364,1,0,0,0,1,0,0,1,0,1,0,0,100000000.0
18,3019,0,5.632325,123.0,0,1979,20000000.0,0.0,241327000.0,90614445.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
19,3020,200000000,26.88907,194.0,0,1997,52337531.0,0.0,50370002.333333336,3534431.75,19.11382792951231,1,0,0,0,1,0,0,0,0,0,0,0,200000000.0
20,3021,30000000,10.432293,100.0,0,1998,80916492.0,0.0,22750363.0,0.0,17.216707972959764,0,0,0,0,1,0,0,0,0,0,0,0,30000000.0
21,3022,20000000,14.114135999999998,101.0,0,2008,27002520.2,0.0,12789636.333333334,70247042.0,16.811242881518265,0,0,0,0,0,0,0,0,0,0,0,0,20000000.0
22,3023,0,1.120498,105.0,0,2006,0.0,14051384.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
23,3024,27000000,7.550891,99.0,0,2004,0.0,249925482.0,257354556.66666666,25967746.714285713,17.11134746100564,0,0,0,0,1,0,0,0,0,0,0,0,27000000.0
24,3025,0,4.14228,105.0,0,2016,0.0,0.0,54813383.5,29531161.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,480672.0999999994
25,3026,35000000,10.302735,128.0,0,1991,44472803.14285714,0.0,56758119.72727273,67009576.2,17.370858648025116,0,0,0,0,1,0,0,0,0,0,0,0,35000000.0
26,3027,5000000,3.0781110000000003,100.0,0,1988,834332.0,0.0,0.0,0.0,15.424948670398354,0,1,1,0,0,0,0,0,0,0,0,1,5000000.0
27,3028,44000000,13.465656,128.0,0,2016,24009687.0,0.0,121655450.60869566,38450142.0,17.599700214609808,1,0,0,0,1,0,0,0,0,0,0,0,44000000.0
28,3029,500000,1.162001,84.0,1,2012,0.0,0.0,0.0,33232.0,13.122365377402328,1,0,0,0,0,0,0,0,0,0,0,0,500000.0
29,3030,35000000,10.855383,94.0,0,2001,112120805.0,0.0,337596171.3333333,8806862.5,17.370858648025116,0,0,0,1,0,0,1,0,0,0,0,0,35000000.0
30,3031,2000000,11.547748,101.0,0,2006,0.0,0.0,0.0,0.0,14.508658238524095,1,0,0,0,0,0,0,0,0,0,0,0,2000000.0
31,3032,2200000,4.102052,157.0,0,2006,0.0,0.0,14215000.0,0.0,14.603968372873895,1,0,0,0,0,0,0,0,0,0,0,0,2200000.0
32,3033,250,0.817002,72.0,0,1998,0.0,0.0,0.0,0.0,5.5254529391317835,1,0,0,0,0,1,0,0,0,0,0,0,250.0
33,3034,300000,0.113042,101.0,0,2001,0.0,0.0,0.0,0.0,12.611541086966115,0,0,0,0,0,0,0,0,0,0,1,0,300000.0
34,3035,0,6.480574,83.0,0,2014,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
35,3036,5500000,10.524204,97.0,0,2014,0.0,0.0,33291190.42105263,0.0,15.520258832020865,0,0,0,0,1,0,0,0,0,1,0,0,5500000.0
36,3037,18000000,11.863954,94.0,1,2003,0.0,0.0,93653018.25,86354437.66666667,16.705882371415992,0,0,0,0,0,0,0,0,0,0,0,1,18000000.0
37,3038,10000000,17.028854,97.0,0,2016,50879245.0,0.0,0.0,0.0,16.118095750958314,0,0,0,0,1,0,0,1,0,0,0,0,10000000.0
38,3039,12516654,7.225778999999999,78.0,0,2012,0.0,1477676.0,0.0,24099594.0,16.342570715415327,1,0,0,0,0,1,0,0,0,0,0,1,12516654.0
39,3040,0,3.933121,80.0,0,1986,11000000.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,480672.0999999994
40,3041,12000000,6.142913,94.0,0,2011,139958364.33333334,0.0,34060516.76923077,311977775.0,16.300417291085605,1,0,0,0,0,0,0,0,0,0,0,0,12000000.0
41,3042,0,2.173823,95.0,0,1987,0.0,39024251.0,1452714.5,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,480672.0999999994
42,3043,5000000,5.6152050000000004,83.0,1,2012,0.0,35300032.25,0.0,25.0,15.424948670398354,0,0,0,0,1,0,0,0,0,0,0,0,5000000.0
43,3044,6000000,4.707275,98.0,0,2014,0.0,0.0,16767055.5,0.0,15.607270193858982,0,0,0,0,0,0,0,0,0,0,0,0,6000000.0
44,3045,140000000,19.323582000000002,124.0,1,2011,204881136.0,241821510.6,24591992.8,48085457.666666664,18.757152987716434,0,1,0,0,0,0,1,0,0,1,0,0,140000000.0
45,3046,0,2.069497,107.0,0,1990,251379.0,0.0,42372748.4,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,480672.0999999994
46,3047,0,10.003167,100.0,0,1944,600000.0,600000.0,5231250.0,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,480672.0999999994
47,3048,17000000,7.435544,122.0,0,2006,0.0,0.0,65526648.375,0.0,16.648723960844016,1,0,0,0,1,0,1,0,0,0,0,0,17000000.0
48,3049,0,7.346769999999999,110.0,1,1988,0.0,0.0,0.0,10823521.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,480672.0999999994
49,3050,3500000,13.657204,118.0,1,1977,0.0,13200000.0,57550811.0,0.0,15.068273812173887,1,0,0,0,0,0,0,0,0,0,0,0,3500000.0
50,3051,50,0.825042,98.0,0,1995,0.0,0.0,4803000.666666667,0.0,3.9318256327243257,1,0,0,0,1,0,1,0,0,0,0,0,50.0
51,3052,20000000,6.515316,94.0,0,2002,0.0,0.0,34635050.222222224,0.0,16.811242881518265,0,0,0,0,0,0,0,0,0,0,0,0,20000000.0
52,3053,0,0.732748,90.0,0,2008,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,480672.0999999994
53,3054,0,1.482993,183.0,0,2003,0.0,0.0,366547.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,480672.0999999994
54,3055,34000000,8.013617,139.0,0,1993,38913702.75,8373585.0,64679744.85714286,10796555.5,17.341871111992198,1,0,0,0,0,0,0,0,0,0,0,0,34000000.0
55,3056,0,1.444925,83.0,0,2010,410565.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
56,3057,50000000,11.418917,95.0,0,1995,102300557.8,18642907.0,0.0,0.0,17.72753358339242,0,0,0,0,1,0,1,1,0,0,0,0,50000000.0
57,3058,200000000,10.56812,140.0,0,2010,103120004.28571428,131790473.13043478,88389229.28571428,108566414.14285715,19.11382792951231,0,1,0,0,0,0,1,0,0,0,0,0,200000000.0
58,3059,0,0.933995,153.0,0,1984,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,480672.0999999994
