,popularity,iscollect,Drama,Adventure,Fantasy,Western,Thriller,Animation,Action,Mystery,Foreign,Science Fiction,Documentary,Family,director_success,producer_success,actor1_success,actor2_success,revenue,budget
0,6.575392999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,17.466298894691338,15.621585076215215,18.127619469500587,0.0,16.32630024971174,16.454567887579532
1,8.248895,1,1,0,0,0,0,0,0,0,0,0,0,1,17.239410280255953,0.0,18.923485202008916,18.13120395529382,18.37095921369616,17.50439001207821
2,64.29999000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,19.08004257298168,17.688078800451624,12.444691829126524,16.387511914603213,15.009433026436708
3,3.174936,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,16.213405830762643,0.0,16.588099280204055,13.997832114758229
4,1.14807,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,15.182614454378227,0.0
5,0.743274,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,14.997740081142886,15.89495209964411
6,7.286477,0,0,0,0,0,1,0,0,0,0,0,0,0,13.98017887587091,0.0,0.0,0.0,18.263396033176587,16.454567887579532
7,1.949044,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,14.765820421268007,0.0
8,6.902423,1,0,1,0,0,0,0,1,0,0,0,0,1,17.12171963134924,0.0,18.541944993147396,0.0,17.35145416487623,0.0
9,4.672036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.370746106663434,0.0,15.370746106663434,16.746717430294627,15.60727002719233
10,14.774066,1,1,0,0,0,0,0,0,0,0,0,0,0,16.77661277316671,0.0,0.0,0.0,18.57969227922794,13.815510557964274
11,10.54375,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,16.699384025409348,0.0,16.935318604087552,0.0
12,20.726578,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,18.622946984945408,0.0,13.93959547278036,19.69127409081684,16.523560759066484
13,13.314232999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,17.155396844741265,18.643142799100808,19.284048154719578,16.263705590849312,18.371764789871715,17.785802471516394
14,20.666063,0,0,0,0,0,1,0,1,1,0,1,0,0,0.0,18.91847016040225,14.035562134045966,0.0,19.69708469491702,18.440483371248543
